2022-05-06 08:57:13.402898: usd/jpy, 0, 1
2022-05-06 09:07:14.705494: usd/chf, 1
2022-05-06 09:14:12.667468: usd/jpy, 0, 1
2022-05-06 09:28:13.889597: aud/usd, 1
2022-05-06 09:37:12.617924: eur/gbp, 1
2022-05-06 09:47:11.908340: gbp/usd, 0, 0



2022-05-06 09:59:12.438009: eur/gbp, 0, 2022-05-06 10:07:07.647200: eur/gbp, 0
2022-05-06 10:12:24.522286: usd/chf, 0, 0
2022-05-06 10:20:13.092238: eur/usd, 0, 1
0, 0
2022-05-06 10:42:12.088543: gbp/usd, 1
2022-05-06 10:50:17.264222: usd/jpy, 0, 1
2022-05-06 11:04:16.228287: eur/usd, 1
2022-05-06 11:12:13.961203: eur/usd, 1
2022-05-06 11:23:14.152708: eur/usd, 0, 0
2022-05-06 11:35:15.063068: eur/usd, 1
2022-05-06 11:42:12.185932: eur/usd, 0, 1
2022-05-06 11:52:12.888419: usd/jpy, 1
2022-05-06 11:58:15.741889: eur/usd, 0, 0
2022-05-06 12:08:14.921489: usd/chf, 1
2022-05-06 12:15:13.874849: eur/gbp, 0, 0
2022-05-06 12:27:14.309585: eur/usd, 1
2022-05-06 12:36:14.123998: eur/usd, 0, 1
2022-05-06 12:46:12.203352: eur/usd, 1
2022-05-06 12:53:15.848113: usd/chf, 1
2022-05-06 13:02:12.238037: usd/chf, 1
2022-05-06 13:13:15.988724: usd/jpy, 0, 1
2022-05-06 13:24:13.163400: aud/usd, 0, 0
2022-05-06 13:34:13.730506: aud/usd, 1
2022-05-06 13:45:13.928386: usd/chf, 1
2022-05-06 13:53:14.180951: aud/usd, 1
2022-05-06 14:02:12.771933: aud/usd, 1
2022-05-06 14:09:13.765240: usd/jpy, 0, 1
2022-05-06 14:18:13.881655: aud/usd, 1
2022-05-06 14:24:13.116170: aud/usd,  
2022-05-06 14:33:13.114226: usd/jpy, 1
2022-05-06 14:41:13.928663: usd/jpy, 0, 0
2022-05-06 14:50:16.668179: usd/jpy, 0, 0
2022-05-06 15:00:13.024167: usd/jpy, 1
2022-05-06 15:11:12.026742: usd/chf, 0, 1
2022-05-06 15:23:12.820818: aud/usd, 0, 0
